Row Labels,Sum of Profit,Sum of Sales
Copiers,55617.8249,149528.03
Phones,44515.7306,330007.054
Accessories,41936.6357,167380.318
Paper,34053.5693,78479.206
Binders,30221.7633,203412.733
Chairs,26590.1663,328449.103
Storage,21278.8264,223843.608
Appliances,18138.0054,107532.161
Furnishings,13059.1436,91705.164
Envelopes,6964.1767,16476.402
Art,6527.787,27118.792
Labels,5546.254,12486.312
Machines,3384.7569,189238.631
Fasteners,949.5182,3024.28
Supplies,-1189.0995,46673.538
Bookcases,-3472.556,114879.9963
Tables,-17725.4811,206965.532
Grand Total,286397.0217,2297200.86
